Property_ID,Square_Feet,Bedrooms,Age_Years,Neighborhood,Has_Pool,Price_USD
PROP_1052,1575.0,3,42.0,Suburbs,Yes,306666
PROP_1053,834.0,1,30.0,Rural,No,134189
PROP_1054,3053.0,3,19.0,Suburbs,No,486578
PROP_1055,2755.0,2,17.0,Suburbs,No,404078
PROP_1056,2385.0,3,19.0,Suburbs,No,357828
PROP_1057,1821.0,2,28.0,Downtown,No,314798
PROP_1058,3413.0,3,26.0,Downtown,No,520298
PROP_1059,1929.0,2,37.0,Suburbs,No,281807
PROP_1060,2300.0,4,26.0,Suburbs,No,395076
PROP_1061,1502.0,2,23.0,Downtown,Yes,352786
PROP_1062,3249.0,2,9.0,Suburbs,Yes,513983
PROP_1063,2379.0,2,12.0,Rural,Yes,397793
PROP_1064,961.0,4,1.0,Downtown,Yes,351561
PROP_1065,1001.0,4,1.0,Suburbs,Yes,265752
PROP_1066,2781.0,2,47.0,Suburbs,Yes,410854
PROP_1067,1795.0,3,34.0,Rural,No,311162
PROP_1068,3117.0,4,,Suburbs,Yes,493461
PROP_1069,1615.0,3,,Suburbs,No,278356
PROP_1070,1255.0,3,25.0,Rural,No,250677
PROP_1071,,2,40.0,Rural,No,294770
PROP_1072,1816.0,1,45.0,Rural,No,248411
PROP_1073,3143.0,4,1.0,Downtown,Yes,635020
PROP_1074,1137.0,4,16.0,Suburbs,Yes,299967
PROP_1075,1678.0,3,39.0,Suburbs,Yes,313283
PROP_1076,1876.0,2,5.0,Downtown,Yes,387229
PROP_1077,1591.0,2,22.0,Downtown,No,296772
PROP_1078,3064.0,3,29.0,Suburbs,Yes,500335
PROP_1079,1563.0,4,3.0,Rural,Yes,351118
PROP_1080,3035.0,4,12.0,Suburbs,Yes,530873
PROP_1081,1179.0,3,26.0,Suburbs,No,228115
PROP_1082,,3,16.0,Suburbs,Yes,298024
PROP_1083,1980.0,1,37.0,Suburbs,No,273204
PROP_1084,2862.0,2,22.0,Suburbs,No,432603
PROP_1085,864.0,4,29.0,Suburbs,No,211229
PROP_1086,3368.0,3,14.0,Suburbs,Yes,538311
PROP_1087,2167.0,1,28.0,Downtown,No,331758
PROP_1088,1952.0,2,5.0,Downtown,No,366575
PROP_1089,2827.0,3,47.0,Downtown,Yes,488499
PROP_1090,3495.0,1,49.0,Rural,No,446954
PROP_1091,,2,30.0,Suburbs,No,325567
PROP_1092,1962.0,3,46.0,Suburbs,Yes,348284
PROP_1093,2322.0,3,5.0,Rural,No,417974
PROP_1094,3440.0,3,12.0,Suburbs,No,529601
PROP_1095,1191.0,2,16.0,Rural,No,251871
PROP_1096,2498.0,3,,Suburbs,Yes,411953
PROP_1097,1218.0,2,26.0,Rural,Yes,226290
PROP_1098,3136.0,2,48.0,Suburbs,No,392039
PROP_1099,1178.0,3,21.0,Rural,No,263600
PROP_1100,2596.0,3,39.0,Downtown,No,444535
PROP_1101,3078.0,4,36.0,Rural,No,475326
PROP_1102,2888.0,3,33.0,Suburbs,No,436159
PROP_1103,,3,30.0,Downtown,No,474957
PROP_1104,1000.0,1,37.0,Rural,Yes,217286
PROP_1105,2663.0,2,23.0,Downtown,No,438898
PROP_1106,1579.0,2,10.0,Downtown,No,324120
PROP_1107,1302.0,2,5.0,Downtown,No,306126
PROP_1108,3254.0,5,36.0,Suburbs,No,529495
PROP_1109,2551.0,2,34.0,Downtown,No,413678
PROP_1110,1604.0,4,31.0,Downtown,Yes,368422
PROP_1111,2946.0,3,10.0,Rural,No,473592
PROP_1112,2695.0,3,19.0,Suburbs,No,453830
PROP_1113,2370.0,3,32.0,Suburbs,Yes,421181
PROP_1114,1760.0,3,1.0,Rural,No,358897
PROP_1115,3460.0,3,5.0,Rural,No,526531
PROP_1116,2285.0,2,45.0,Suburbs,Yes,335355
PROP_1117,3490.0,3,4.0,Downtown,No,582113
PROP_1118,1828.0,2,16.0,Suburbs,Yes,330995
PROP_1119,1302.0,1,24.0,Suburbs,No,218852
PROP_1120,,3,16.0,Suburbs,Yes,254053
PROP_1121,1670.0,2,2.0,Suburbs,No,320943
PROP_1122,1192.0,4,49.0,Downtown,No,276869
PROP_1123,,5,28.0,Suburbs,No,255716
PROP_1124,1838.0,4,32.0,Rural,No,316978
PROP_1125,2681.0,2,27.0,Rural,No,364497
PROP_1126,2284.0,1,20.0,Downtown,Yes,412427
PROP_1127,1663.0,4,24.0,Downtown,No,366859
PROP_1128,1363.0,3,12.0,Suburbs,No,254810
PROP_1129,,5,35.0,Rural,No,331973
PROP_1130,895.0,5,33.0,Downtown,No,282763
PROP_1131,2723.0,4,,Suburbs,Yes,492195
PROP_1132,2557.0,2,43.0,Rural,No,351346
PROP_1133,3332.0,2,37.0,Rural,No,432892
PROP_1134,3078.0,4,12.0,Rural,No,501273
PROP_1135,2478.0,2,3.0,Downtown,No,434669
PROP_1136,1340.0,2,1.0,Downtown,No,264146
PROP_1137,1859.0,3,33.0,Suburbs,No,307665
PROP_1138,3372.0,4,40.0,Rural,No,503175
PROP_1139,1983.0,3,10.0,Rural,Yes,391403
PROP_1140,2522.0,3,43.0,Suburbs,Yes,433774
PROP_1141,2619.0,1,44.0,Suburbs,Yes,383378
PROP_1142,3425.0,3,29.0,Suburbs,Yes,527166
PROP_1143,3404.0,5,13.0,Rural,Yes,581282
PROP_1144,2397.0,2,12.0,Rural,Yes,441840
PROP_1145,3493.0,3,31.0,Suburbs,No,507848
PROP_1146,1595.0,4,46.0,Downtown,Yes,361408
PROP_1147,1851.0,3,2.0,Suburbs,No,344358
PROP_1148,2443.0,3,35.0,Rural,Yes,409131
PROP_1149,2163.0,3,23.0,Rural,No,354794
